Test Name,Type (Parametric/Non-parametric),Background,When to Use,Assumptions,Data Types Required,Recommend Sample Size,Test Statistic,How to interpret results,Skill Level,Counterpart
One-Sample t-Test,Parametric,Developed by William S. Gosset ('Student') in 1908 as a test for a population mean:contentReference[oaicite:0]{index=0}.,To determine if the mean of a single sample differs from a known or target value:contentReference[oaicite:1]{index=1}.,"Requires approximately normally distributed data (or n large by CLT), independent observations, and uses sample standard deviation as an estimate:contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3}.",Numeric continuous outcome (one sample).,n ≥ 30 recommended if normality is not assured (allows use of t-approximation via CLT):contentReference[oaicite:4]{index=4}.,"t statistic = (\\bar{x} - μ₀) / (s/√n), compared against t-distribution (df = n-1).","If p-value < α, reject H₀ (conclude the population mean differs from the target); if p ≥ α, fail to reject H₀ (no significant difference).",Green Belt (fundamental statistical test).,One-Sample Sign Test or 1-Sample Wilcoxon Signed-Rank Test (non-parametric median test):contentReference[oaicite:5]{index=5}.
Two-Sample t-Test (Independent),Parametric,"Originating from Student's t-test (Gosset), extended to compare means of two independent groups; uses pooled variance under equal variance assumption:contentReference[oaicite:6]{index=6}.",To test if the means of two independent populations are significantly different (e.g. control vs treatment group means).,"Assumes each sample is from a normal distribution, samples are independent, and variances are equal (for pooled version; Welch’s variant relaxes equal variance):contentReference[oaicite:7]{index=7}:contentReference[oaicite:8]{index=8}.",Numeric continuous outcome; one categorical independent variable with two levels (groups).,Preferably n ≥ 30 in each group if normality is uncertain (CLT improves robustness); smaller samples acceptable if data are approximately normal.,"t statistic = (\\bar{x}_1 - \\bar{x}_2) / (s_p * √(1/n₁ + 1/n₂)), tested with df ≈ n₁+n₂-2 (or adjusted for Welch).","If p < α, conclude the two group means differ significantly; if p ≥ α, cannot detect a significant mean difference.",Green Belt (common test for comparing two processes).,Mann-Whitney U Test (non-parametric two-sample comparison):contentReference[oaicite:9]{index=9}.
Paired t-Test,Parametric,A specialized t-test (also introduced by Gosset) for matched pairs: effectively a one-sample t-test on the differences between paired observations:contentReference[oaicite:10]{index=10}.,To determine if the mean difference between two related measurements (e.g. before vs after on same subjects) is zero or not.,"Assumes differences are approximately normally distributed, pairs are matched/dependent but different pairs are independent of each other.",Numeric continuous outcome measured in pairs (e.g. repeated measures on same unit).,"If normality of differences is uncertain, aim for ~30 paired samples; smaller paired samples are acceptable if differences appear symmetric/normal.","t statistic = (\\bar{d}) / (s_d/√n), where \\bar{d} is mean of differences, s_d is std dev of differences; uses t-distribution (df = n-1).","If p < α, reject H₀ (significant difference between paired measurements); if p ≥ α, not enough evidence of a difference.",Green Belt (used for before-and-after comparisons).,Wilcoxon Signed-Rank Test (non-parametric paired test):contentReference[oaicite:11]{index=11}.
One-Way ANOVA,Parametric,"Developed by Ronald Fisher in the 1920s as Analysis of Variance, to generalize t-tests to multiple groups:contentReference[oaicite:12]{index=12}.",To test if three or more group means are all equal or if at least one differs (compares variability between vs within groups).,"Assumes each sample is from a normal distribution, observations independent, and approximately equal variances across groups (homoscedasticity):contentReference[oaicite:13]{index=13}:contentReference[oaicite:14]{index=14}.",Numeric continuous outcome; one categorical factor with 3+ levels (independent groups).,Recommended ≥ 10-20 observations per group (≥ 30 if normality is questionable) to ensure robustness of F-test assumptions:contentReference[oaicite:15]{index=15}:contentReference[oaicite:16]{index=16}.,"F statistic = MS_between / MS_within, follows F-distribution (df1 = k-1, df2 = N-k).","If p < α, reject H₀ (conclude not all means are equal; at least one group mean differs). Further pairwise comparisons (post-hoc tests) identify which means differ.",Green / Black Belt (Green Belt covers basics; Black Belt uses extensively in DOE and complex analyses).,Kruskal-Wallis H Test (non-parametric ANOVA alternative):contentReference[oaicite:17]{index=17}.
Repeated Measures ANOVA,Parametric,"Extends ANOVA for within-subject designs; developed to analyze multiple related measurements (e.g. time series on same subjects), requiring sphericity assumption (Mauchly’s test often used):contentReference[oaicite:18]{index=18}.",To test if the means of three or more related conditions (or time points) are equal (controls for subject-to-subject variability).,"Assumes normal distribution of differences, sphericity (equal variances of differences between all pairs of conditions), and independent subjects (no between-subject effects).",Numeric continuous outcome measured on the same experimental units across conditions.,"Typically need ≥ 10 subjects (blocks); more increases power. If sphericity is violated, use corrections (Greenhouse-Geisser) or a non-parametric alternative. Ensure enough subjects to estimate variability reliably.",F statistic with repeated measures design (with appropriate df adjustments if sphericity violated) comparing between-condition variance to residual variance.,"If p < α, reject H₀ (at least one time/treatment mean differs). A significant result indicates a time/treatment effect; follow-up with post-hoc or trend analysis to locate differences.",Black Belt (advanced analysis of longitudinal or blocked data).,Friedman Test (non-parametric repeated-measures analog):contentReference[oaicite:19]{index=19}.
Chi-Square Goodness-of-Fit Test,Non-parametric,"Introduced by Karl Pearson in 1900 as one of the first modern statistical tests:contentReference[oaicite:20]{index=20}, it checks how observed categorical frequencies compare to expected frequencies under a hypothesized distribution.",To determine if an observed frequency distribution for a single categorical variable differs from an expected distribution (e.g. to test if data follow a claimed proportion across categories).,Assumes independent observations and sufficiently large sample such that expected counts in each category are ≥ 5 (for validity of chi-square approximation).,"Categorical outcome (one categorical variable with two or more possible categories), compared against expected proportions.","Generally requires a total sample large enough to give each category an expected count of at least 5. If sample is small, exact tests should be used instead of chi-square approximation.","Test statistic χ² = Σ ((Observed - Expected)² / Expected), which follows a χ² distribution (df = number of categories - 1) under H₀.","If p < α, reject H₀ (the observed distribution differs significantly from the expected pattern); if p ≥ α, no significant deviation from expected distribution is detected.",Green Belt (basic analysis of categorical data).,"Exact multinomial test (for small samples, uses exact probabilities) – otherwise no direct parametric counterpart since χ² is itself the standard method."
Chi-Square Test of Independence,Non-parametric,"A generalization of Pearson’s chi-square (Karl Pearson, 1900) to contingency tables, used to assess if two categorical variables are associated:contentReference[oaicite:21]{index=21}.","To test whether two categorical variables are independent (e.g. whether proportions differ across groups, such as defect rate by machine or preference by region).","Assumes a random sample, independent observations, and expected frequency ≥ 5 in each cell (or at most <20% of cells with expected <5) for the χ² approximation to be valid.",Two categorical variables (forming an R×C contingency table) with frequency counts in each combination of categories.,"Total sample size should be large enough that expected counts ≥ 5 per cell. If this assumption fails (small sample or sparse table), use Fisher’s Exact Test for 2×2 tables or other exact methods for larger tables.","Test statistic χ² = Σ ((O_{ij}-E_{ij})²/E_{ij}) summed over all cells, approximately χ² distributed (df = (R-1)(C-1)) under H₀ of independence.","If p < α, reject H₀ (conclude the variables are not independent, i.e. there is a significant association between them). If p ≥ α, no significant association is detected.",Green Belt (commonly applied to analyze categorical factors in projects).,"Fisher’s Exact Test (for 2×2 cases with small sample sizes, an exact alternative to χ²)."
One-Sample Proportion Test,Parametric,"Based on normal approximation to binomial (using a z-test), widely used in quality control to test if a proportion meets a target; the approximation becomes accurate for large samples (historically developed alongside early 20th century sampling theory).","To check if a population proportion (e.g. defect rate, yes/no probability) equals a specified value (H₀: p = p₀).",Assumes a binomially distributed outcome with a sufficiently large sample so that np₀ and n(1-p₀) ≥ 5 (so the sampling distribution of the proportion can be approximated by normal).,Binary (dichotomous) outcome in one sample (success/failure data).,"n large enough to have ≥ 5 expected successes and failures (rule of thumb; for better accuracy ≥ 10 of each). If sample sizes are small, a Binomial exact test is recommended.","Test statistic z = (\\hat{p} - p₀) / sqrt(p₀(1-p₀)/n), which is approximately standard normal under H₀.","If p-value < α, reject H₀ (the observed proportion differs significantly from p₀); if p ≥ α, no significant difference from the target proportion is found.",Green Belt (common in defect rate or compliance testing).,Exact Binomial Test (non-parametric exact counterpart for proportion when n is small).
Two-Sample Proportion Test,Parametric,Uses a normal (z) approximation or chi-square for 2×2 contingency tables; historically related to Pearson’s chi-square. Compares two group proportions (e.g. success rates) under large-sample conditions.,"To test if two independent proportions are equal (H₀: p₁ = p₂), for example comparing defect rates between two processes or response rates between two groups.",Assumes each sample is binomial with enough sample size that the expected counts of successes and failures in both groups ≥ 5 (ensuring normal approximation validity). Observations between and within samples are independent.,Binary outcome for two independent groups (2×2 contingency data).,"Each group should have at least ~30 observations or at minimum ≥5 expected successes and failures per group. If sample sizes are small or counts are low, use Fisher’s exact test instead of the z-approach.","Test statistic z = (\\hat{p}_1 - \\hat{p}_2) / sqrt(\\hat{p}(1-\\hat{p})(1/n₁+1/n₂)), where \\hat{p} is pooled proportion under H₀; approximate normal distribution used (or equivalently χ² with 1 df for the squared version).","If p < α, reject H₀ (significant difference between the two proportions); if p ≥ α, fail to reject H₀ (no significant difference in proportions).","Green Belt (useful for comparing defect percentages, survey yes-rates, etc.).","Fisher’s Exact Test (non-parametric exact alternative for two proportions, especially when sample size is small or assumptions for z-test fail)."
Shapiro-Wilk Test (Normality),Non-parametric,"Published in 1965 by Samuel Shapiro and Martin Wilk:contentReference[oaicite:22]{index=22}, it provides a test statistic W to assess whether data come from a normal distribution (powerful for detecting non-normality).",To test if a dataset is approximately normally distributed (used as a prerequisite check before applying parametric tests).,"Assumes independent observations. It specifically tests normality; no assumption of normality is required (that is what is being tested). However, the test may be too sensitive for large n (detects minor departures):contentReference[oaicite:23]{index=23}.",Continuous numeric data (one variable) – requires an adequate sample (typically 3 ≤ n ≤ 5000 for valid use).,"Works for small to moderate sample sizes. For n > ~50, even small deviations can yield significant p-values:contentReference[oaicite:24]{index=24}, so normality tests are most informative for n roughly 20–300. Very large samples may always appear non-normal.",Test statistic W is computed from a weighted sum of ordered sample values; W ranges from 0 to 1. Critical values come from simulations.,"If p < α, reject H₀ (data deviate significantly from normal distribution); if p ≥ α, do not reject H₀ (no evidence against normality).",Green / Black Belt (all practitioners check assumptions; Green Belts use normality tests in Analyze phase; Black Belts for more rigorous validation).,Anderson-Darling Test (another normality/goodness-of-fit test that gives more weight to tail behavior):contentReference[oaicite:25]{index=25}.
