Method,Background,When to Use,Assumptions (if any),How to Interpret Results,Phase Usage (DMAIC),Skill Level (Yellow/Green/Black/Master),Framework
5S (Workplace Organization),"Developed as part of the Toyota Production System in mid-20th century; the five Japanese S’s (Seiri, Seiton, Seiso, Seiketsu, Shitsuke) mean Sort, Set in Order, Shine, Standardize, Sustainleantransitionsolutions.comleantransitionsolutions.com. It creates a clean, safe, and organized work environment to improve efficiency and qualityasq.org.","Use when a workplace is cluttered or inefficient, to jumpstart improvements by organizing and standardizing the area. Ideal at project start or during Improve phase to reduce waste from disorganizationasq.orgleantransitionsolutions.com.",Assumes management support and employee discipline to maintain standards. No statistical prerequisites. Requires commitment to sustain the new organization (the 5th “S”) so gains aren’t lost.,"Interpret 5S results via before-and-after comparisons: improved safety, reduced time to find tools/materials, and 5S audit scores. A successful 5S implementation is indicated by sustained orderliness and fewer process delays due to workspace issuesleantransitionsolutions.comleantransitionsolutions.com.",Improve / Control,Yellow / Green / Black (all levels benefit from 5S),Lean
7 Wastes (Muda),"Originates from Lean/Toyota; seven common forms of waste: Overproduction, Inventory, Waiting, Transportation, Over-Processing, Motion, Defects (an 8th waste of unused talent is often added)asq.orgleantransitionsolutions.com. Identification of waste categories was popularized by Taiichi Ohno to drive continuous elimination of non-value-add activities.",Use in any process analysis (Measure/Analyze) to identify and categorize waste. Particularly useful when mapping a process (e.g. value stream map or Gemba walk) to highlight inefficiencies in those seven categoriesleantransitionsolutions.comleantransitionsolutions.com.,"Assumes that most process inefficiencies can be categorized into these waste types. Requires that teams critically observe processes to pinpoint waste. No quantitative assumption, but needs honest observation and data on process delays, scrap, etc.","Results are interpreted by the amount of waste reduced in each category. For example, a successful waste reduction might show shorter wait times, lower inventory levels, or defect rate drops. If the “before” vs “after” process shows elimination of specific wastes (e.g. fewer handoffs or transports), the tool has been effectiveleantransitionsolutions.comleantransitionsolutions.com.",Measure / Analyze (to identify wastes); Improve (to eliminate them),Yellow / Green / Black (all practitioners should know waste types),Lean
A3 Problem Solving,A structured Lean approach using a one-page A3 document to solve problems systematically.,To align teams on root cause analysis and improvement plans.,Team collaboration and data access for analysis.,Evaluate completeness of logic and alignment with root cause and countermeasures.,Analyze/Improve,Green/Black,Lean
Andon (Visual Alert System),"A visual feedback system (often lights or signals) used on factory floors, first implemented at Toyota. “Andon” alerts supervisors and halts production when problems occurease.io. It embodies Jidoka (automation with intelligence) by empowering workers/machines to signal issues immediately.","Use Andon in production or service processes to monitor status in real time. Ideal in Control phase or daily operations to quickly flag abnormalities or defects as soon as they are detected (e.g. machine malfunction, quality defect)ease.ioease.io.","Assumes problems will be immediately addressed when signaled – i.e., that the team is ready and authorized to respond to Andon calls. Requires a responsive culture; otherwise stopping the line has no benefit. No statistical assumptions.","Interpret Andon results by tracking frequency and duration of stops: repeated signals pinpoint chronic issues. A well-functioning Andon system leads to shorter response times and fewer recurring problems (since each stop triggers root cause fixing). If Andon calls decrease over time or resolve faster, the system is effectiveease.ioease.io.",Control (for ongoing process monitoring),Green / Black (to design and respond to Andon systems; all operators engage with it),Lean
Bottleneck Analysis,"Based on Theory of Constraints and Lean principles of flow. Involves identifying the process step that constrains overall throughput (the slowest or most overloaded step)ease.ioease.io. By relieving bottlenecks, overall process speed and output can increase.","Use in Analyze phase to find why a process is slow or backlogged. Whenever throughput needs improvement, perform bottleneck analysis by mapping cycle times and WIP at each step. Particularly useful in manufacturing or service processes with imbalanced workloadsease.ioease.io.","Assumes processes have a single primary constraint at any time. Requires stable process data (cycle times, queue lengths) to identify the bottleneck. Assumes improving the bottleneck will improve overall throughput (no other major hidden constraints).","Interpret by observing flow improvements: Once the bottleneck is elevated (e.g., added resources or reduced workload at that step), overall cycle time or throughput should improve. Key metrics are output rate and work-in-process levels before and after. If downstream steps no longer starve and upstream steps no longer pile up, the bottleneck was successfully addressedease.ioease.io.",Analyze / Improve,Green / Black (Green can map and measure; Black for complex systems or multiple constraints),Lean
Continuous Flow (One-Piece Flow),"A Lean method where items move through process steps one at a time (or in small, continuous batches) instead of large batches, to maintain a steady flow without interruptionsease.ioleantransitionsolutions.com. This concept was central to TPS for reducing wait times and inventory.","Use in Improve phase when batch queues are causing delays. Applicable after analyzing process WIP and idle times – if items spend too much time waiting, shift to continuous flow to reduce lead time. Best for stable, high-volume processes where work can be balanced among stepsease.ioleantransitionsolutions.com.",Assumes demand rate can support flow (takt time can be met) and process steps can be balanced. Requires relatively stable product mix or quick changeovers (use SMED if needed) to avoid interruptions.,"Interpret results by measuring lead time and WIP: continuous flow should reduce lead times and inventory dramaticallyleantransitionsolutions.com. If implemented well, you’ll see higher throughput and less idle time. For example, output to customer is more frequent (e.g. daily rather than weekly batches) and any buildup of inventory between steps should drop.",Improve,Green / Black (to design cell layout and balance work for flow),Lean
Cycle Time / Little's Law,"Cycle Time is the time it takes to complete a process; Little's Law relates flow, WIP, and throughput.",To analyze and improve process flow and efficiency.,Stable processes with consistent input and output rates.,Identify and reduce delays or bottlenecks to improve throughput.,Measure/Analyze,Green/Black,Lean
Gemba Walk,From Japanese “Gemba” (the actual place). A practice where managers/leaders go to the work site to observe processes firsthand and engage with employeesease.ioleantransitionsolutions.com. Popularized in Lean as “Go and see” (genchi genbutsu) to understand reality vs reports.,"Use in Define or Analyze phases to grasp the real process conditions. When a process problem is suspected, conduct a Gemba Walk to directly see operations, ask frontline workers questions, and gather immediate insights for improvementease.ioleantransitionsolutions.com. Often done regularly (daily/weekly) as part of continuous improvement culture.",Assumes openness and trust: employees must feel safe pointing out issues to leadership. Also assumes that firsthand observation will reveal opportunities (requires that managers know what to look for or have a checklist). No quantitative assumptions.,"Interpret the findings by compiling observed issues, inefficiencies, or ideas into an action list. The “results” of a Gemba Walk are qualitative: e.g., noting a recurrent delay, safety hazard, or workaround. Effective Gemba walks yield actionable insights – multiple small improvements or a clearer problem definition. If improvements implemented from walk observations lead to measurable gains (safety incidents down, cycle time down), the walks are considered successfulleantransitionsolutions.comleantransitionsolutions.com.",Define / Analyze (also used ad-hoc for continuous improvement),"Yellow / Green / Black (all levels, especially leaders, practice Gemba walks)",Lean
Heijunka (Level Loading),"A Lean method for production leveling (scheduling mix and volume evenly over time). Developed by Toyota to avoid big peaks and troughs in production, thus reducing mura (unevenness) and muri (overburden)ease.ioease.io. Implements a steady, repetitive sequence of different product types to meet demand with minimal inventory.","Use in Improve/Control when demand variability causes inefficiency (e.g., overtime then idle time, or large inventory buffers). After establishing takt time and basic flow, apply Heijunka to level daily schedules so that production aligns with average demand rate and mix, smoothing out spikesease.ioease.io.","Assumes demand is reasonably forecastable or can be averaged, and that small frequent changeovers are feasible (often requires SMED to make mix changes efficient). Requires commitment to produce in a leveled pattern even if short-term demand fluctuates.","Interpret results by stability of output and reduced inventory/lead time. A successful heijunka implementation yields consistent daily production volumes and shorter lead times for customers. Monitor inventory levels and throughput: if production no longer alternates between glut and starvation and inventory of finished goods drops while meeting demand, leveling is workingease.ioease.io.",Improve / Control,Black / MBB (advanced planning – typically led by higher-level practitioners or production control experts),Lean
Hoshin Kanri (Policy Deployment),"A strategic planning method (also called Hoshin Planning) aligning goals across the organization using PDCA. Originated in Japan, it ensures that company-wide objectives drive activities at every levelease.ioleantransitionsolutions.com. Uses an X-matrix or similar to tie strategic goals to projects and metrics.","Use at the Define phase (project selection) or organizational annual planning. It’s not tool for individual DMAIC projects per se, but in Lean Six Sigma context, it guides which improvements to pursue. Employ Hoshin Kanri when needing to align improvement projects with top-level strategy – ensures each LSS project supports a “big picture” breakthrough objectiveease.ioleantransitionsolutions.com.",Assumes a relatively stable long-term strategy and that all levels of the organization can reach consensus on priorities. Requires management commitment to follow through on the Hoshin plan reviews (monthly/annual). No statistical assumptions.,"Interpret results by tracking progress on annual objectives and breakthrough goals. Hoshin Kanri uses regular reviews (monthly, annual)leantransitionsolutions.comleantransitionsolutions.com – success is seen when lower-level project metrics roll up to achieve the strategic targets. If the organization meets its year-end targets (e.g., cost reduction, market share) and can tie those to specific initiatives, the policy deployment is effective. Misalignment or missed targets indicate gaps in the Hoshin process.",Define (project selection/prioritization); Control (strategic review),MBB (Master Black Belts or Lean strategists facilitate policy deployment),Lean
